Code,Stock,Company,Market Type,Shariah,Sector
03041,1TECH,ONETECH SOLUTIONS HOLDINGS BERHAD,LEAP,NS,Software 
0012,3A,THREE-A RESOURCES BERHAD,MAIN,S,Food & Beverages 
7054,AASIA,ASTRAL ASIA BERHAD,MAIN,S,Plantation
5238,AAX,AIRASIA X BERHAD,MAIN,S,"Travel, Leisure & Hospitality "
0800EA,ABFMY1,ABF MALAYSIA BOND INDEX FUND,ETF,NS,Bond Fund
7086,ABLEGRP,ABLEGROUP BERHAD,MAIN,S,Building Materials
2488,ABMB,ALLIANCE BANK MALAYSIA BERHAD,MAIN,NS,Banking
03028,ACEINNO,ACE INNOVATE ASIA BERHAD,LEAP,NS,Metals
7131,ACME,ACME HOLDINGS BERHAD,MAIN,S,Property
0218,ACO,ACO GROUP BERHAD,ACE,S,Industrial Services
7120,ACOSTEC,ACOUSTECH BERHAD,MAIN,S,Property
5281,ADVCON,ADVANCECON HOLDINGS BERHAD,MAIN,S,Construction
7191,ADVENTA,ADVENTA BERHAD,MAIN,S,Health Care Equipment & Services
9148,ADVPKG,ADVANCED PACKAGING TECHNOLOGY (M) BHD,MAIN,S,Packaging Materials
7146,AEM,AE MULTI HOLDINGS BERHAD,MAIN,S,"Industrial Materials, Components & Equipment "
0181,AEMULUS,AEMULUS HOLDINGS BERHAD,ACE,S,Technology Equipment
6599,AEON,AEON CO. (M) BHD,MAIN,S,Retailers
5139,AEONCR,AEON CREDIT SERVICE (M) BERHAD,MAIN,NS,Other Financials
5185,AFFIN,AFFIN BANK BERHAD,MAIN,NS,Banking
5198,AFUJIYA,ABM FUJIYA BERHAD,MAIN,S,Auto Parts
7145,AGES,AGESON BERHAD,MAIN,S,Construction
7315,AHB,AHB HOLDINGS BERHAD,MAIN,S,Consumer Services
7090,AHEALTH,APEX HEALTHCARE BERHAD,MAIN,S,Pharmaceuticals
0122,AIM,ADVANCE INFORMATION MARKETING BERHAD,ACE,NS,Industrial Services
0209,AIMFLEX,AIMFLEX BERHAD,ACE,S,Technology Equipment
5099,AIRASIA,AIRASIA GROUP BERHAD,MAIN,S,"Travel, Leisure & Hospitality "
5014,AIRPORT,MALAYSIA AIRPORTS HOLDINGS BERHAD,MAIN,NS,Transportation & Logistics Services
2658,AJI,AJINOMOTO (MALAYSIA) BERHAD,MAIN,S,Food & Beverages
7609,AJIYA,AJIYA BERHAD,MAIN,S,Building Materials
5115,ALAM,ALAM MARITIM RESOURCES BERHAD,MAIN,S,"Energy Infrastructure, Equipment & Services "
5116,ALAQAR,AL-`AQAR HEALTHCARE REIT,MAIN,S,Real Estate Investment Trusts
2674,ALCOM,ALCOM GROUP BERHAD,MAIN,NS,Metals
1163,ALLIANZ,ALLIANZ MALAYSIA BERHAD,MAIN,NS,Insurance
5269,ALSREIT,AL-SALAM REAL ESTATE INVESTMENT TRUST,MAIN,S,Real Estate Investment Trusts
1015,AMBANK,AMMB HOLDINGS BERHAD,MAIN,NS,Banking
5293,AME,AME ELITE CONSORTIUM BERHAD,MAIN,S,Construction
0159,AMEDIA,ASIA MEDIA GROUP BERHAD,MAIN,S,Media
5120,AMFIRST,AMFIRST REAL ESTATE INVESTMENT TRUST,MAIN,NS,Real Estate Investment Trusts
03011,AMLEX,AMLEX HOLDINGS BERHAD,LEAP,S,Semiconductors
1007,AMPROP,AMCORP PROPERTIES BERHAD,MAIN,S,Property
7031,AMTEL,AMTEL HOLDINGS BERHAD,MAIN,NS,Telecommunications Equipment
6351,AMWAY,AMWAY (MALAYSIA) HOLDINGS BERHAD,MAIN,S,Retailers
7083,ANALABS,ANALABS RESOURCES BERHAD,MAIN,NS,Industrial Services
4758,ANCOM,ANCOM BERHAD,MAIN,S,Chemicals
0048,ANCOMLB,ANCOM LOGISTICS BERHAD,ACE,S,Transportation & Logistics Services
0226,ANEKA,ANEKA JARINGAN HOLDINGS BERHAD,ACE,S,Construction
6556,ANNJOO,ANN JOO RESOURCES BERHAD,MAIN,S,Metals
5082,ANNUM,ANNUM BERHAD,MAIN,S,Wood & Wood Products
9342,ANZO,ANZO HOLDINGS BERHAD,MAIN,NS,Wood & Wood Products
5568,APB,APB RESOURCES BERHAD,MAIN,S,Industrial Engineering
5088,APEX,APEX EQUITY HOLDINGS BERHAD,MAIN,NS,Other Financials
5015,APM,APM AUTOMOTIVE HOLDINGS BERHAD,MAIN,S,Auto Parts
6432,APOLLO,APOLLO FOOD HOLDINGS BERHAD,MAIN,S,Food & Beverages
0119,APPASIA,APPASIA BERHAD,ACE,S,Software
7214,ARANK,A-RANK BERHAD,MAIN,NS,Metals
7181,ARBB,ARB BERHAD,MAIN,S,Software
7007,ARK,ARK RESOURCES HOLDINGS BERHAD,MAIN,S,Property
5210,ARMADA,BUMI ARMADA BERHAD,MAIN,NS,"Energy Infrastructure, Equipment & Services "
5127,ARREIT,AMANAHRAYA REAL ESTATE INVESTMENT TRUST,MAIN,NS,Real Estate Investment Trusts
0038,ARTRONIQ,ARTRONIQ BERHAD,ACE,S,Chemicals
1481,ASB,ADVANCE SYNERGY BERHAD,MAIN,S,"Travel, Leisure & Hospitality "
0068,ASDION,ASDION BERHAD,ACE,S,Software
7722,ASIABRN,ASIA BRANDS BERHAD,MAIN,S,Personal Goods
7129,ASIAFLE,ASIA FILE CORPORATION BHD,MAIN,S,Consumer Services
4057,ASIAPAC,ASIAN PAC HOLDINGS BERHAD,MAIN,S,Property
0105,ASIAPLY,ASIA POLY HOLDINGS BERHAD,ACE,S,Chemicals
7162,ASTINO,ASTINO BERHAD,MAIN,S,Building Materials
03032,ASTRA,ASTRAMINA GROUP BERHAD,LEAP,NS,Food & Beverages
6399,ASTRO,ASTRO MALAYSIA HOLDINGS BERHAD,MAIN,NS,Media
0072,AT,AT SYSTEMATIZATION BERHAD,ACE,S,"Industrial Materials, Components & Equipment "
8176,ATAIMS,ATA IMS BERHAD,MAIN,S,"Industrial Materials, Components & Equipment "
7048,ATLAN,ATLAN HOLDINGS BHD.,MAIN,NS,Retailers
5130,ATRIUM,ATRIUM REAL ESTATE INVESTMENT TRUST,MAIN,NS,Real Estate Investment Trusts
7099,ATTA,ATTA GLOBAL GROUP BERHAD,MAIN,S,Metals
03037,AURORA,AURORA ITALIA INTERNATIONAL BERHAD,LEAP,NS,Personal Goods
8885,AVI,AVILLION BERHAD,MAIN,S,"Travel, Leisure & Hospitality "
5204,AWANTEC,AWANBIRU TECHNOLOGY BERHAD,MAIN,S,Digital Services
7579,AWC,AWC BERHAD,MAIN,S,Industrial Services
6888,AXIATA,AXIATA GROUP BERHAD,MAIN,S,Telecommunications Service Providers
5106,AXREIT,AXIS REAL ESTATE INVESTMENT TRUST,MAIN,S,Real Estate Investment Trusts
2305,AYER,AYER HOLDINGS BERHAD,MAIN,S,Property
5021,AYS,AYS VENTURES BERHAD,MAIN,S,Building Materials
7078,AZRB,AHMAD ZAKI RESOURCES BERHAD,MAIN,S,Construction
03012,BABA,BABA ECO GROUP BERHAD,LEAP,S,Household Goods
0098,BAHVEST,BAHVEST RESOURCES BERHAD,ACE,S,Agricultural Products
7251,BARAKAH,BARAKAH OFFSHORE PETROLEUM BERHAD,MAIN,S,"Energy Infrastructure, Equipment & Services "
4162,BAT,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,MAIN,NS,Personal Goods
5248,BAUTO,BERMAZ AUTO BERHAD,MAIN,S,Automotive
6602,BCB,BCB BERHAD,MAIN,NS,Property
0187,BCMALL,BCM ALLIANCE BERHAD,ACE,S,Industrial Services
6173,BDB,BINA DARULAMAN BERHAD,MAIN,S,Property
5190,BENALEC,BENALEC HOLDINGS BERHAD,MAIN,NS,Construction
9814,BERTAM,BERTAM ALLIANCE BERHAD,MAIN,S,Property
8133,BHIC,BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,MAIN,S,Transportation Equipment
7005,BIG,B.I.G. INDUSTRIES BERHAD,MAIN,S,Diversified Industrials
5258,BIMB,BIMB HOLDINGS BERHAD,MAIN,S,Banking
0195,BINACOM,BINASAT COMMUNICATIONS BERHAD,ACE,S,Telecommunications Service Providers
6998,BINTAI,BINTAI KINDEN CORPORATION BERHAD,MAIN,S,Industrial Engineering
0179,BIOHLDG,BIOALPHA HOLDINGS BERHAD,ACE,S,Food & Beverages
5032,BIPORT,BINTULU PORT HOLDINGS BERHAD,MAIN,S,Transportation & Logistics Services
3239,BJASSET,BERJAYA ASSETS BERHAD,MAIN,NS,Property
3395,BJCORP,BERJAYA CORPORATION BERHAD,MAIN,NS,Diversified Industrials
5196,BJFOOD,BERJAYA FOOD BERHAD,MAIN,S,"Travel, Leisure & Hospitality "
4219,BJLAND,BERJAYA LAND BERHAD,MAIN,NS,"Travel, Leisure & Hospitality "
1562,BJTOTO,BERJAYA SPORTS TOTO BERHAD,MAIN,NS,"Travel, Leisure & Hospitality "
1899,BKAWAN,BATU KAWAN BERHAD,MAIN,S,Plantation
5069,BLDPLNT,BLD PLANTATION BHD.,MAIN,S,Plantation
0168,BOILERM,BOILERMECH HOLDINGS BERHAD,MAIN,S,"Industrial Materials, Components & Equipment "
9288,BONIA,BONIA CORPORATION BERHAD,MAIN,S,Personal Goods
7036,BORNOIL,BORNEO OIL BERHAD,MAIN,S,Industrial Services
6297,BOXPAK,BOX-PAK (MALAYSIA) BERHAD,MAIN,NS,Packaging Materials
5254,BPLANT,BOUSTEAD PLANTATIONS BERHAD,MAIN,S,Plantation
5100,BPPLAS,BP PLASTICS HOLDING BHD,MAIN,S,Packaging Materials
5932,BPURI,BINA PURI HOLDINGS BHD,MAIN,S,Construction
9474,BRAHIMS,BRAHIM'S HOLDINGS BERHAD,MAIN,S,Food & Beverages
8761,BREM,BREM HOLDING BERHAD,MAIN,S,Construction
9938,BRIGHT,BRIGHT PACKAGING INDUSTRY BERHAD,MAIN,NS,Packaging Materials
7221,BSLCORP,BSL CORPORATION BERHAD,MAIN,S,Metals
2771,BSTEAD,BOUSTEAD HOLDINGS BERHAD,MAIN,S,Diversified Industrials
0011,BTECH,BRITE-TECH BERHAD,ACE,S,"Gas, Water & Multi-utilities "
7188,BTM,BTM RESOURCES BERHAD,MAIN,S,Wood & Wood Products
1818,BURSA,BURSA MALAYSIA BERHAD,MAIN,S,Other Financials
03042,BVLH,BV LAND HOLDINGS BERHAD,LEAP,S,Construction
7174,CAB,CAB CAKARAN CORPORATION BERHAD,MAIN,NS,Agricultural Products
0191,CABNET,CABNET HOLDINGS BERHAD,ACE,S,Technology Equipment
7154,CAELY,CAELY HOLDINGS BHD,MAIN,S,Personal Goods
7128,CAMRES,CAM RESOURCES BERHAD,MAIN,S,Household Goods
5105,CANONE,CAN-ONE BERHAD,MAIN,NS,Packaging Materials
5229,CAP,CHINA AUTOMOBILE PARTS HOLDINGS LIMITED,MAIN,NS,Auto Parts
0163,CAREPLS,CAREPLUS GROUP BERHAD,ACE,S,Health Care Equipment & Services
5257,CARIMIN,CARIMIN PETROLEUM BERHAD,MAIN,S,"Energy Infrastructure, Equipment & Services "
2836,CARLSBG,CARLSBERG BREWERY MALAYSIA BERHAD,MAIN,NS,Food & Beverages
7076,CBIP,CB INDUSTRIAL PRODUCT HOLDING BERHAD,MAIN,S,"Industrial Materials, Components & Equipment "
2925,CCB,CYCLE & CARRIAGE BINTANG BERHAD,MAIN,S,Automotive
7035,CCK,CCK CONSOLIDATED HOLDINGS BERHAD,MAIN,S,Food & Beverages
5195,CENSOF,CENSOF HOLDINGS BERHAD,MAIN,S,Software
8982,CEPAT,CEPATWAWASAN GROUP BERHAD,MAIN,S,Plantation
8435,CEPCO,CONCRETE ENGINEERING PRODUCTS BERHAD,MAIN,S,Building Materials
03024,CETECH,CE TECHNOLOGY BERHAD,LEAP,NS,Industrial Services
8044,CFM,COMPUTER FORMS (MALAYSIA) BERHAD,MAIN,S,Industrial Services
8052,CGB,CENTRAL GLOBAL BERHAD,MAIN,S,Packaging Materials
7209,CHEETAH,CHEETAH HOLDINGS BERHAD,MAIN,S,Personal Goods
7187,CHGP,CHIN HIN GROUP PROPERTY BERHAD,MAIN,S,Transportation Equipment
5738,CHHB,COUNTRY HEIGHTS HOLDINGS BHD,MAIN,S,Property
5273,CHINHIN,CHIN HIN GROUP BERHAD,MAIN,S,Building Materials
1929,CHINTEK,CHIN TECK PLANTATIONS BERHAD,MAIN,NS,Plantation
5007,CHINWEL,CHIN WELL HOLDINGS BERHAD,MAIN,S,"Industrial Materials, Components & Equipment "
5797,CHOOBEE,CHOO BEE METAL INDUSTRIES BHD,MAIN,S,Metals
7016,CHUAN,CHUAN HUAT RESOURCES BHD,MAIN,S,Building Materials
2828,CIHLDG,C.I. HOLDINGS BERHAD,MAIN,S,Food & Beverages
1023,CIMB,CIMB GROUP HOLDINGS BERHAD,MAIN,NS,Banking
7117,CJCEN,CJ CENTURY LOGISTICS HOLDINGS BERHAD,MAIN,S,Transportation & Logistics Services
03001,CLOUD,CLOUDARON GROUP BERHAD,LEAP,S,Digital Services
7018,CME,CME GROUP BERHAD,MAIN,S,Industrial Services
5180,CMMT,CAPITALAND MALAYSIA MALL TRUST,MAIN,NS,Real Estate Investment Trusts
2852,CMSB,CAHYA MATA SARAWAK BERHAD,MAIN,S,Building Materials
7986,CNASIA,CN ASIA CORPORATION BHD,MAIN,NS,"Industrial Materials, Components & Equipment "
5104,CNI,CNI HOLDINGS BERHAD,MAIN,S,Consumer Services
5188,CNOUHUA,CHINA OUHUA WINERY HOLDINGS LIMITED,MAIN,NS,Food & Beverages
5071,COASTAL,COASTAL CONTRACTS BHD,MAIN,NS,"Energy Infrastructure, Equipment & Services "
7205,COCOLND,COCOALAND HOLDINGS BERHAD,MAIN,S,Food & Beverages
7195,COMCORP,COMINTEL CORPORATION BHD,MAIN,NS,"Industrial Materials, Components & Equipment "
2127,COMFORT,COMFORT GLOVES BERHAD,MAIN,S,"Industrial Materials, Components & Equipment "
5136,COMPLET,COMPLETE LOGISTIC SERVICES BERHAD,MAIN,NS,Transportation & Logistics Services
5037,COMPUGT,COMPUGATES HOLDINGS BERHAD,MAIN,S,Industrial Services
0102,CONNECT,CONNECTCOUNTY HOLDINGS BERHAD,ACE,S,"Industrial Materials, Components & Equipment "
8591,CRESBLD,CREST BUILDER HOLDINGS BERHAD,MAIN,S,Construction
6718,CRESNDO,CRESCENDO CORPORATION BERHAD,MAIN,S,Property
03016,CRG,CRG INCORPORATED BERHAD,LEAP,S,Personal Goods
7202,CSCENIC,CLASSIC SCENIC BERHAD,MAIN,S,Household Goods
5094,CSCSTEL,CSC STEEL HOLDINGS BERHAD,MAIN,S,Metals
03035,CTIB,COSMOS TECHNOLOGY INTERNATIONAL BERHAD,LEAP,NS,Industrial Services
0051,CUSCAPI,CUSCAPI BERHAD,MAIN,NS,Software
5049,CVIEW,COUNTRY VIEW BERHAD,MAIN,S,Property
9423,CWG,CWG HOLDINGS BERHAD,MAIN,S,Consumer Services
7157,CYL,CYL CORPORATION BERHAD,MAIN,S,Packaging Materials
5184,CYPARK,CYPARK RESOURCES BERHAD,MAIN,S,Industrial Services
7204,D&O,D&O GREEN TECHNOLOGIES BERHAD,MAIN,S,Semiconductors
8125,DAIBOCI,DAIBOCHI BERHAD,MAIN,S,Packaging Materials
5276,DANCO,DANCOMECH HOLDINGS BERHAD,MAIN,S,"Industrial Materials, Components & Equipment "
8338,DATAPRP,DATAPREP HOLDINGS BHD,MAIN,S,Digital Services
0091,DAYA,DAYA MATERIALS BERHAD,MAIN,NS,"Energy Infrastructure, Equipment & Services "
5141,DAYANG,DAYANG ENTERPRISE HOLDINGS BERHAD,MAIN,S,"Energy Infrastructure, Equipment & Services "
3484,DBHD,DAMANSARA REALTY BHD,MAIN,S,Property
5132,DELEUM,DELEUM BERHAD,MAIN,S,"Energy Infrastructure, Equipment & Services "
7212,DESTINI,DESTINI BERHAD,MAIN,S,Industrial Engineering
5165,DFCITY,DFCITY GROUP BERHAD,MAIN,S,Building Materials
0152,DGB,DGB ASIA BERHAD,ACE,S,Software
0131,DGSB,DIVERSIFIED GATEWAY SOLUTIONS BERHAD,ACE,S,Digital Services
7277,DIALOG,DIALOG GROUP BERHAD,MAIN,S,"Energy Infrastructure, Equipment & Services "
6947,DIGI,DIGI.COM BERHAD,MAIN,S,Telecommunications Service Providers
0029,DIGISTA,DIGISTAR CORPORATION BERHAD,MAIN,NS,Digital Services
7528,DKLS,DKLS INDUSTRIES BHD,MAIN,S,Construction
5908,DKSH,DKSH HOLDINGS (MALAYSIA) BERHAD,MAIN,S,Consumer Services
3026,DLADY,DUTCH LADY MILK INDUSTRIES BERHAD,MAIN,S,Food & Beverages
4456,DNEX,DAGANG NEXCHANGE BERHAD,MAIN,S,Digital Services
7114,DNONCE,D'NONCE TECHNOLOGY BHD,MAIN,S,Packaging Materials
5835,DOLMITE,DOLOMITE CORPORATION BERHAD,MAIN,NS,Building Materials
5265,DOLPHIN,DOLPHIN INTERNATIONAL BERHAD,MAIN,S,"Industrial Materials, Components & Equipment "
7169,DOMINAN,DOMINANT ENTERPRISE BERHAD,MAIN,S,Wood & Wood Products
7148,DPHARMA,DUOPHARMA BIOTECH BERHAD,MAIN,S,Pharmaceuticals
0205,DPIH,DPI HOLDINGS BERHAD,ACE,NS,Household Goods
7198,DPS,DPS RESOURCES BERHAD,MAIN,S,Property
1619,DRBHCOM,DRB-HICOM BERHAD,MAIN,S,Automotive
5216,DSONIC,DATASONIC GROUP BERHAD,MAIN,S,Digital Services
7233,DUFU,DUFU TECHNOLOGY CORP. BERHAD,MAIN,S,"Industrial Materials, Components & Equipment "
3948,DUTALND,DUTALAND BERHAD,MAIN,NS,Plantation
5178,DYNACIA,DYNACIATE GROUP BERHAD,MAIN,S,Metals
3417,E&O,EASTERN & ORIENTAL BERHAD,MAIN,S,Property
0154,EAH,EA HOLDINGS BERHAD,ACE,NS,Digital Services
2097,EASTLND,EASTLAND EQUITY BHD,MAIN,S,"Travel, Leisure & Hospitality "
5259,EATECH,E.A.TECHNIQUE (M) BERHAD,MAIN,S,Transportation & Logistics Services
2143,ECM,ECM LIBRA GROUP BERHAD,MAIN,NS,Other Financials
3557,ECOFIRS,ECOFIRST CONSOLIDATED BHD,MAIN,S,Property
0059,ECOHLDS,ECOBUILT HOLDINGS BERHAD,MAIN,S,Telecommunications Service Providers
5253,ECONBHD,ECONPILE HOLDINGS BERHAD,MAIN,S,Construction
8206,ECOWLD,ECO WORLD DEVELOPMENT GROUP BERHAD,MAIN,S,Property
5036,EDARAN,EDARAN BERHAD,MAIN,S,Technology Equipment
7471,EDEN,EDEN INC. BERHAD,MAIN,NS,Electricity
1368,EDGENTA,UEM EDGENTA BERHAD,MAIN,S,Industrial Services
0107,EDUSPEC,EDUSPEC HOLDINGS BERHAD,ACE,S,Software
0064,EFFICEN,EFFICIENT E-SOLUTIONS BERHAD,MAIN,NS,Industrial Services
0065,EFORCE,EXCEL FORCE MSC BERHAD,MAIN,S,Software
0227,EFRAME,ECONFRAME BERHAD,ACE,S,Building Materials
8907,EG,EG INDUSTRIES BERHAD,MAIN,S,"Industrial Materials, Components & Equipment "
5081,EIG,ESTHETICS INTERNATIONAL GROUP BERHAD,MAIN,S,Personal Goods
5208,EITA,EITA RESOURCES BERHAD,MAIN,S,"Industrial Materials, Components & Equipment "
7182,EKA,EKA NOODLES BERHAD,MAIN,S,Food & Beverages
8877,EKOVEST,EKOVEST BERHAD,MAIN,S,Construction
9016,EKSONS,EKSONS CORPORATION BERHAD,MAIN,NS,Wood & Wood Products
5228,ELKDESA,ELK-DESA RESOURCES BERHAD,MAIN,NS,Other Financials
0090,ELSOFT,ELSOFT RESEARCH BERHAD,MAIN,S,Technology Equipment
7217,EMETALL,EONMETALL GROUP BERHAD,MAIN,S,Metals
9091,EMICO,EMICO HOLDINGS BERHAD,MAIN,S,Consumer Services
6076,ENCORP,ENCORP BERHAD,MAIN,S,Property
